Aberdeen-Matawan,AM
Absecon,AB
Allendale,AZ
Allenhurst,AH
Anderson Street,AS
Annandale,AN
Asbury Park,AP
Atco,AO
Atlantic City Rail Terminal,AC
Avenel,AV
Basking Ridge,BI
Bay Head,BH
Bay Street,MC
Belmar,BS
Berkeley Heights,BY
Bernardsville,BV
Bloomfield,BM
Boonton,BN
Bound Brook,BK
Bradley Beach,BB
Brick Church,BU
Bridgewater,BW
Broadway-Fairlawn,BF
Campbell Hall,CB
Chatham,CM
Cherry Hill,CY
Clifton,IF
Convent Station,CN
Cranford,XC
Delawanna,DL
Denville,DV
Dover,DO
Dunellen,DN
East Orange,EO
Edison,ED
Egg Harbor City,EH
Elberon,EL
Elizabeth,EZ
Emerson,EN
Essex Street,EX
Fanwood,FW
Far Hills,FH
Finderne,FE
Garfield,GD
Garwood,GW
Gillette,GI
Gladstone,GL
Glen Ridge,GG
Glen Rock,RS
Glen Rock Boro Hall,GK
Great Notch,GA
Hackettstown,HQ
Hamilton,HL
Hammonton,HN
Harriman,HR
Hawthorne,HW
Hazlet,HZ
High Bridge,HG
Highland Avenue,HI
Hillsdale,HD
Hoboken,HB
Hohokus,UF
Jersey Avenue,JA
Kingsland,KG
Lake Hopatcong,HP
Lebanon,ON
Lincoln Park,LP
Linden,LI
Lindenwold,LW
Little Falls,FA
Little Silver,LS
Long Branch,LB
Lyndhurst,LN
Lyons,LY
Madison,MA
Mahwah,MZ
Manasquan,SQ
Maplewood,MW
Metro Park,MP
Metuchen,MU
Middleton NJ,MI
Middletown NY,MD
Millburn,MB
Millington,GO
Montclair State U,UV
Monmouth Park,MK
Montclair Heights,HS
Montvale,ZM
Morris Plains,MX
Morristown,MR
Mount Olive,OL
Mount Tabor,TB
Mountain Avenue,MS
Mountain Lakes,ML
Mountain Station,MT
Mountain View,MV
Murray Hill,MH
Nanuet,NN
Netcong,NT
Netherwood,NE
New Brunswick,NB
New Providence,NV
Newark Airport,NA
Newark Broad Street,ND
Newark Penn Station,NP
North Branch,OR
North Elizabeth,NZ
New Bridge Landing,NH
Oradell,OD
Orange,OG
Ottisville,OS
Park Ridge,PV
Passaic,PS
Paterson,RN
Peapack,PC
Pearl River,PQ
New york Penn Station,NY
Perth Amboy,PE
Philadelphia,PH
Plainfield,PF
Plauderville,PL
Point Pleasant Beach,PP
Port Jervis,PO
Princeton,PR
Princeton Junction,PJ
Radburn-Fairlawn,FZ
Rahway,RH
Ramsey,RY
Ramsey Rt 17,17
Raritan,RA
Red Bank,RB
Ridgewood,RW
River Edge,RG
Roselle Park,RL
Rutherford,RF
Salisbury Mills-Cornwall,CW
Secaucus Upper Lvl,SE
Secaucus Lower Lvl,TS
Short Hills,RT
Sloatsburg,XG
Somerville,SM
South Amboy,CH
South Orange,SO
Spring Lake,LA
Spring Valley,SV
Stirling,SG
Suffern,SF
Summit,ST
Teterboro,TE
Towaco,TO
Trenton,TR
Tuxedo,TC
Union,US
Upper Montclair,UM
Waldwick,WK
Walnut Street,WA
Watchung Avenue,WG
Watsessing Avenue,WT
Wayne-Route 23,23
Westfield,WF
Westwood,WW
White House,WH
Wood Ridge,WR
Woodbridge,WB
Woodcliff Lake,WL